SYMBOL,NAMEOFCOMPANY,ASSET_TYPE,ISINNUMBER,ASSET_RANK
360ONE.NS,360 ONE WAM Ltd.,EQ,INE466L01038,500
3MINDIA.NS,3M India Ltd.,EQ,INE470A01017,500
ABB.NS,ABB India Ltd.,EQ,INE117A01022,100
ACC.NS,ACC Ltd.,EQ,INE012A01025,500
ACMESOLAR.NS,ACME Solar Holdings Ltd.,EQ,INE622W01025,500
AIAENG.NS,AIA Engineering Ltd.,EQ,INE212H01026,500
APLAPOLLO.NS,APL Apollo Tubes Ltd.,EQ,INE702C01027,500
AUBANK.NS,AU Small Finance Bank Ltd.,EQ,INE949L01017,500
AWL.NS,AWL Agri Business Ltd.,EQ,INE699H01024,500
AADHARHFC.NS,Aadhar Housing Finance Ltd.,EQ,INE883F01010,500
AARTIIND.NS,Aarti Industries Ltd.,EQ,INE769A01020,500
AAVAS.NS,Aavas Financiers Ltd.,EQ,INE216P01012,500
ABBOTINDIA.NS,Abbott India Ltd.,EQ,INE358A01014,500
ACE.NS,Action Construction Equipment Ltd.,EQ,INE731H01025,500
ADANIENSOL.NS,Adani Energy Solutions Ltd.,EQ,INE931S01010,100
ADANIENT.NS,Adani Enterprises Ltd.,EQ,INE423A01024,50
ADANIGREEN.NS,Adani Green Energy Ltd.,EQ,INE364U01010,100
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,EQ,INE742F01042,50
ADANIPOWER.NS,Adani Power Ltd.,EQ,INE814H01011,100
ATGL.NS,Adani Total Gas Ltd.,EQ,INE399L01023,500
ABCAPITAL.NS,Aditya Birla Capital Ltd.,EQ,INE674K01013,500
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,EQ,INE647O01011,500
ABREL.NS,Aditya Birla Real Estate Ltd.,EQ,INE055A01016,500
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,EQ,INE404A01024,500
AEGISLOG.NS,Aegis Logistics Ltd.,EQ,INE208C01025,500
AFCONS.NS,Afcons Infrastructure Ltd.,EQ,INE101I01011,500
AFFLE.NS,Affle (India) Ltd.,EQ,INE00WC01027,500
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,EQ,INE031B01049,500
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,EQ,INE09XN01023,500
APLLTD.NS,Alembic Pharmaceuticals Ltd.,EQ,INE901L01018,500
ALIVUS.NS,Alivus Life Sciences Ltd.,EQ,INE03Q201024,500
ALKEM.NS,Alkem Laboratories Ltd.,EQ,INE540L01014,500
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,EQ,INE150B01039,500
ALOKINDS.NS,Alok Industries Ltd.,EQ,INE270A01029,500
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,EQ,INE885A01032,500
AMBER.NS,Amber Enterprises India Ltd.,EQ,INE371P01015,500
AMBUJACEM.NS,Ambuja Cements Ltd.,EQ,INE079A01024,100
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,EQ,INE463V01026,500
ANANTRAJ.NS,Anant Raj Ltd.,EQ,INE242C01024,500
ANGELONE.NS,Angel One Ltd.,EQ,INE732I01013,500
