Industry,Symbol,Sym,Company Name,Series,ISIN Code,
Financial Services,360ONE,360ONE.NS,360 ONE WAM Ltd.,EQ,INE466L01038,500
Diversified,3MINDIA,3MINDIA.NS,3M India Ltd.,EQ,INE470A01017,500
Capital Goods,ABB,ABB.NS,ABB India Ltd.,EQ,INE117A01022,100
Construction Materials,ACC,ACC.NS,ACC Ltd.,EQ,INE012A01025,500
Power,ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,EQ,INE622W01025,500
Capital Goods,AIAENG,AIAENG.NS,AIA Engineering Ltd.,EQ,INE212H01026,500
Capital Goods,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,EQ,INE702C01027,500
Financial Services,AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,EQ,INE949L01017,500
Fast Moving Consumer Goods,AWL,AWL.NS,AWL Agri Business Ltd.,EQ,INE699H01024,500
Financial Services,AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,EQ,INE883F01010,500
Chemicals,AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,EQ,INE769A01020,500
Financial Services,AAVAS,AAVAS.NS,Aavas Financiers Ltd.,EQ,INE216P01012,500
Healthcare,ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,EQ,INE358A01014,500
Capital Goods,ACE,ACE.NS,Action Construction Equipment Ltd.,EQ,INE731H01025,500
Power,ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,EQ,INE931S01010,100
Metals & Mining,ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,EQ,INE423A01024,50
Power,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,EQ,INE364U01010,100
Services,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,EQ,INE742F01042,50
Power,ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,EQ,INE814H01011,100
Oil Gas & Consumable Fuels,ATGL,ATGL.NS,Adani Total Gas Ltd.,EQ,INE399L01023,500
Financial Services,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,EQ,INE674K01013,500
Consumer Services,ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,EQ,INE647O01011,500
Forest Materials,ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,EQ,INE055A01016,500
Financial Services,ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,EQ,INE404A01024,500
Oil Gas & Consumable Fuels,AEGISLOG,AEGISLOG.NS,Aegis Logistics Ltd.,EQ,INE208C01025,500
Construction,AFCONS,AFCONS.NS,Afcons Infrastructure Ltd.,EQ,INE101I01011,500
Information Technology,AFFLE,AFFLE.NS,Affle (India) Ltd.,EQ,INE00WC01027,500
Healthcare,AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,EQ,INE031B01049,500
Healthcare,AKUMS,AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,EQ,INE09XN01023,500
Healthcare,APLLTD,APLLTD.NS,Alembic Pharmaceuticals Ltd.,EQ,INE901L01018,500
Healthcare,ALIVUS,ALIVUS.NS,Alivus Life Sciences Ltd.,EQ,INE03Q201024,500
Healthcare,ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,EQ,INE540L01014,500
Chemicals,ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,EQ,INE150B01039,500
Textiles,ALOKINDS,ALOKINDS.NS,Alok Industries Ltd.,EQ,INE270A01029,500
Automobile and Auto Components,ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,EQ,INE885A01032,500
Consumer Durables,AMBER,AMBER.NS,Amber Enterprises India Ltd.,EQ,INE371P01015,500
Construction Materials,AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,EQ,INE079A01024,100
Financial Services,ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,EQ,INE463V01026,500
Realty,ANANTRAJ,ANANTRAJ.NS,Anant Raj Ltd.,EQ,INE242C01024,500
Financial Services,ANGELONE,ANGELONE.NS,Angel One Ltd.,EQ,INE732I01013,500
Capital Goods,APARINDS,APARINDS.NS,Apar Industries Ltd.,EQ,INE372A01015,500
Healthcare,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,EQ,INE437A01024,50
Automobile and Auto Components,APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,EQ,INE438A01022,500
Financial Services,APTUS,APTUS.NS,Aptus Value Housing Finance India Ltd.,EQ,INE852O01025,500
Automobile and Auto Components,ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Ltd.,EQ,INE439A01020,500
Capital Goods,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,EQ,INE208A01029,500
Consumer Durables,ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,EQ,INE021A01026,50
Healthcare,ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,EQ,INE914M01019,500
Healthcare,ASTRAZEN,ASTRAZEN.NS,AstraZenca Pharma India Ltd.,EQ,INE203A01020,500
Capital Goods,ASTRAL,ASTRAL.NS,Astral Ltd.,EQ,INE006I01046,500
Chemicals,ATUL,ATUL.NS,Atul Ltd.,EQ,INE100A01010,500
Healthcare,AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,EQ,INE406A01037,500
Financial Services,AIIL,AIIL.NS,Authum Investment & Infrastructure Ltd.,EQ,INE206F01022,500
Consumer Services,DMART,DMART.NS,Avenue Supermarts Ltd.,EQ,INE192R01011,100
Financial Services,AXISBANK,AXISBANK.NS,Axis Bank Ltd.,EQ,INE238A01034,50
Chemicals,BASF,BASF.NS,BASF India Ltd.,EQ,INE373A01013,500
Capital Goods,BEML,BEML.NS,BEML Ltd.,EQ,INE258A01016,500
Consumer Services,BLS,BLS.NS,BLS International Services Ltd.,EQ,INE153T01027,500
Financial Services,BSE,BSE.NS,BSE Ltd.,EQ,INE118H01025,500
Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,EQ,INE917I01010,50
Financial Services,BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,EQ,INE296A01024,50
Financial Services,BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,EQ,INE918I01026,50
Financial Services,BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,EQ,INE118A01012,100
Financial Services,BAJAJHFL,BAJAJHFL.NS,Bajaj Housing Finance Ltd.,EQ,INE377Y01014,100
Automobile and Auto Components,BALKRISIND,BALKRISIND.NS,Balkrishna Industries Ltd.,EQ,INE787D01026,500
Fast Moving Consumer Goods,BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,EQ,INE119A01028,500
Financial Services,BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Ltd.,EQ,INE545U01014,500
Financial Services,BANKBARODA,BANKBARODA.NS,Bank of Baroda,EQ,INE028A01039,100
Financial Services,BANKINDIA,BANKINDIA.NS,Bank of India,EQ,INE084A01016,500
Financial Services,MAHABANK,MAHABANK.NS,Bank of Maharashtra,EQ,INE457A01014,500
Consumer Durables,BATAINDIA,BATAINDIA.NS,Bata India Ltd.,EQ,INE176A01028,500
Chemicals,BAYERCROP,BAYERCROP.NS,Bayer Cropscience Ltd.,EQ,INE462A01022,500
Consumer Durables,BERGEPAINT,BERGEPAINT.NS,Berger Paints India Ltd.,EQ,INE463A01038,500
Capital Goods,BDL,BDL.NS,Bharat Dynamics Ltd.,EQ,INE171Z01026,500
Capital Goods,BEL,BEL.NS,Bharat Electronics Ltd.,EQ,INE263A01024,50
Automobile and Auto Components,BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,EQ,INE465A01025,500
Capital Goods,BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,EQ,INE257A01026,500
Oil Gas & Consumable Fuels,BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,EQ,INE029A01011,100
Telecommunication,BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,EQ,INE397D01024,50
Telecommunication,BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Ltd.,EQ,INE343G01021,500
Fast Moving Consumer Goods,BIKAJI,BIKAJI.NS,Bikaji Foods International Ltd.,EQ,INE00E101023,500
Healthcare,BIOCON,BIOCON.NS,Biocon Ltd.,EQ,INE376G01013,500
Information Technology,BSOFT,BSOFT.NS,Birlasoft Ltd.,EQ,INE836A01035,500
Services,BLUEDART,BLUEDART.NS,Blue Dart Express Ltd.,EQ,INE233B01017,500
Consumer Durables,BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,EQ,INE472A01039,500
Fast Moving Consumer Goods,BBTC,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,EQ,INE050A01025,500
Automobile and Auto Components,BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,EQ,INE323A01026,100
Consumer Services,FIRSTCRY,FIRSTCRY.NS,Brainbees Solutions Ltd.,EQ,INE02RE01045,500
Realty,BRIGADE,BRIGADE.NS,Brigade Enterprises Ltd.,EQ,INE791I01019,500
Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,EQ,INE216A01030,100
Information Technology,MAPMYINDIA,MAPMYINDIA.NS,C.E. Info Systems Ltd.,EQ,INE0BV301023,500
Fast Moving Consumer Goods,CCL,CCL.NS,CCL Products (I) Ltd.,EQ,INE421D01022,500
Power,CESC,CESC.NS,CESC Ltd.,EQ,INE486A01021,500
Capital Goods,CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,EQ,INE067A01029,100
Financial Services,CRISIL,CRISIL.NS,CRISIL Ltd.,EQ,INE007A01025,500
Consumer Durables,CAMPUS,CAMPUS.NS,Campus Activewear Ltd.,EQ,INE278Y01022,500
Financial Services,CANFINHOME,CANFINHOME.NS,Can Fin Homes Ltd.,EQ,INE477A01020,500
Financial Services,CANBK,CANBK.NS,Canara Bank,EQ,INE476A01022,100
Healthcare,CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,EQ,INE475E01026,500
Financial Services,CGCL,CGCL.NS,Capri Global Capital Ltd.,EQ,INE180C01042,500
Capital Goods,CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Ltd.,EQ,INE120A01034,500
Oil Gas & Consumable Fuels,CASTROLIND,CASTROLIND.NS,Castrol India Ltd.,EQ,INE172A01027,500
Automobile and Auto Components,CEATLTD,CEATLTD.NS,Ceat Ltd.,EQ,INE482A01020,500
Financial Services,CENTRALBK,CENTRALBK.NS,Central Bank of India,EQ,INE483A01010,500
Financial Services,CDSL,CDSL.NS,Central Depository Services (India) Ltd.,EQ,INE736A01011,500
Consumer Durables,CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Ltd.,EQ,INE348B01021,500
Consumer Durables,CERA,CERA.NS,Cera Sanitaryware Ltd,EQ,INE739E01017,500
Consumer Services,CHALET,CHALET.NS,Chalet Hotels Ltd.,EQ,INE427F01016,500
Chemicals,CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,EQ,INE085A01013,500
Oil Gas & Consumable Fuels,CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,EQ,INE178A01016,500
Financial Services,CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,EQ,INE149A01033,500
Financial Services,CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,EQ,INE121A01024,100
Healthcare,CIPLA,CIPLA.NS,Cipla Ltd.,EQ,INE059A01026,50
Financial Services,CUB,CUB.NS,City Union Bank Ltd.,EQ,INE491A01021,500
Chemicals,CLEAN,CLEAN.NS,Clean Science and Technology Ltd.,EQ,INE227W01023,500
Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS,Coal India Ltd.,EQ,INE522F01014,50
Capital Goods,COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,EQ,INE704P01025,500
Information Technology,COFORGE,COFORGE.NS,Coforge Ltd.,EQ,INE591G01017,500
Fast Moving Consumer Goods,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,EQ,INE259A01022,500
Financial Services,CAMS,CAMS.NS,Computer Age Management Services Ltd.,EQ,INE596I01012,500
Healthcare,CONCORDBIO,CONCORDBIO.NS,Concord Biotech Ltd.,EQ,INE338H01029,500
Services,CONCOR,CONCOR.NS,Container Corporation of India Ltd.,EQ,INE111A01025,500
Chemicals,COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,EQ,INE169A01031,500
Automobile and Auto Components,CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Ltd.,EQ,INE00LO01017,500
Financial Services,CREDITACC,CREDITACC.NS,CreditAccess Grameen Ltd.,EQ,INE741K01010,500
Consumer Durables,CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,EQ,INE299U01018,500
Capital Goods,CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,EQ,INE298A01020,500
Information Technology,CYIENT,CYIENT.NS,Cyient Ltd.,EQ,INE136B01020,500
Diversified,DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Ltd.,EQ,INE499A01024,500
Realty,DLF,DLF.NS,DLF Ltd.,EQ,INE271C01023,100
Fast Moving Consumer Goods,DOMS,DOMS.NS,DOMS Industries Ltd.,EQ,INE321T01012,500
Fast Moving Consumer Goods,DABUR,DABUR.NS,Dabur India Ltd.,EQ,INE016A01026,100
Construction Materials,DALBHARAT,DALBHARAT.NS,Dalmia Bharat Ltd.,EQ,INE00R701025,500
Capital Goods,DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Ltd.,EQ,INE0IX101010,500
Chemicals,DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,EQ,INE501A01019,500
Chemicals,DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Ltd.,EQ,INE288B01029,500
